Facility Name,Facility ID,State,Measure Name,Number of Discharges,Footnote,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
HELEN KELLER HOSPITAL,10019,AL,READM-30-PN-HRRP,328,,14.7211,14.9964,47,07/01/2017,12/01/2019
HELEN KELLER HOSPITAL,10019,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
HELEN KELLER HOSPITAL,10019,AL,READM-30-HF-HRRP,308,,19.0485,20.1664,55,07/01/2017,12/01/2019
HELEN KELLER HOSPITAL,10019,AL,READM-30-HIP-KNEE-HRRP,306,,4.8814,3.6754,20,07/01/2017,12/01/2019
DALE MEDICAL CENTER,10021,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
DALE MEDICAL CENTER,10021,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
DALE MEDICAL CENTER,10021,AL,READM-30-COPD-HRRP,N/A,,17.9485,18.8640,Too Few to Report,07/01/2017,12/01/2019
DALE MEDICAL CENTER,10021,AL,READM-30-PN-HRRP,68,,15.1945,14.6190,13,07/01/2017,12/01/2019
DALE MEDICAL CENTER,10021,AL,READM-30-HF-HRRP,N/A,,19.8475,20.5134,Too Few to Report,07/01/2017,12/01/2019
DALE MEDICAL CENTER,10021,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-COPD-HRRP,N/A,,16.4501,16.7293,Too Few to Report,07/01/2017,12/01/2019
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-AMI-HRRP,242,,17.1252,16.1450,45,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-HIP-KNEE-HRRP,403,,4.1950,4.1732,17,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-CABG-HRRP,N/A,,10.9558,11.6304,Too Few to Report,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-HF-HRRP,432,,19.8961,22.4649,78,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-COPD-HRRP,172,,22.6491,21.9107,42,07/01/2017,12/01/2019
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-PN-HRRP,175,,18.5879,17.9687,35,07/01/2017,12/01/2019
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-HIP-KNEE-HRRP,N/A,,3.8922,3.6980,Too Few to Report,07/01/2017,12/01/2019
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-CABG-HRRP,135,,15.0599,13.3394,23,07/01/2017,12/01/2019
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-AMI-HRRP,196,,17.9662,15.7851,43,07/01/2017,12/01/2019
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-HF-HRRP,404,,23.1244,21.5910,98,07/01/2017,12/01/2019
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-COPD-HRRP,213,,19.5409,19.4578,42,07/01/2017,12/01/2019
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-PN-HRRP,352,,18.1055,17.3092,67,07/01/2017,12/01/2019
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-HIP-KNEE-HRRP,542,,4.2214,3.9623,24,07/01/2017,12/01/2019
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-CABG-HRRP,N/A,,8.8493,10.7003,Too Few to Report,07/01/2017,12/01/2019
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-COPD-HRRP,339,,20.6614,19.7698,74,07/01/2017,12/01/2019
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-AMI-HRRP,185,,14.6709,14.4534,28,07/01/2017,12/01/2019
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-HF-HRRP,561,,21.7732,20.8451,125,07/01/2017,12/01/2019
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-PN-HRRP,356,,16.2384,16.4249,57,07/01/2017,12/01/2019
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-AMI-HRRP,276,,18.4133,17.4699,54,07/01/2017,12/01/2019
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-HIP-KNEE-HRRP,132,,5.1647,4.0877,11,07/01/2017,12/01/2019
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-HF-HRRP,739,,23.7749,22.6392,179,07/01/2017,12/01/2019
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-COPD-HRRP,190,,20.6912,20.0826,42,07/01/2017,12/01/2019
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-CABG-HRRP,266,,15.5050,14.3263,43,07/01/2017,12/01/2019
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-PN-HRRP,446,,18.1578,17.1773,85,07/01/2017,12/01/2019
COMMUNITY HOSPITAL INC,10034,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
COMMUNITY HOSPITAL INC,10034,AL,READM-30-HF-HRRP,N/A,,17.2731,17.5373,Too Few to Report,07/01/2017,12/01/2019
COMMUNITY HOSPITAL INC,10034,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
COMMUNITY HOSPITAL INC,10034,AL,READM-30-COPD-HRRP,N/A,,15.6201,16.3580,Too Few to Report,07/01/2017,12/01/2019
COMMUNITY HOSPITAL INC,10034,AL,READM-30-PN-HRRP,N/A,,14.7965,14.9630,Too Few to Report,07/01/2017,12/01/2019
COMMUNITY HOSPITAL INC,10034,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-PN-HRRP,437,,17.5210,15.5604,85,07/01/2017,12/01/2019
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-HIP-KNEE-HRRP,N/A,,3.9289,4.2514,Too Few to Report,07/01/2017,12/01/2019
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-AMI-HRRP,96,,14.7794,14.8273,14,07/01/2017,12/01/2019
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-HF-HRRP,477,,20.8135,19.9571,102,07/01/2017,12/01/2019
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-COPD-HRRP,232,,18.3935,17.7024,46,07/01/2017,12/01/2019
ANDALUSIA HEALTH,10036,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
ANDALUSIA HEALTH,10036,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
ANDALUSIA HEALTH,10036,AL,READM-30-COPD-HRRP,197,,18.6415,19.6694,32,07/01/2017,12/01/2019
ANDALUSIA HEALTH,10036,AL,READM-30-HF-HRRP,260,,21.3922,21.9260,54,07/01/2017,12/01/2019
ANDALUSIA HEALTH,10036,AL,READM-30-HIP-KNEE-HRRP,N/A,,5.0273,4.8544,Too Few to Report,07/01/2017,12/01/2019
ANDALUSIA HEALTH,10036,AL,READM-30-PN-HRRP,172,,15.0712,16.3905,20,07/01/2017,12/01/2019
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-AMI-HRRP,N/A,,15.1320,15.9275,Too Few to Report,07/01/2017,12/01/2019
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-COPD-HRRP,148,,16.2704,17.8818,16,07/01/2017,12/01/2019
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-HF-HRRP,85,,21.7480,20.2984,23,07/01/2017,12/01/2019
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-HIP-KNEE-HRRP,N/A,,4.4838,4.0249,Too Few to Report,07/01/2017,12/01/2019
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-PN-HRRP,N/A,,14.8915,15.8282,Too Few to Report,07/01/2017,12/01/2019
HUNTSVILLE HOSPITAL,10039,AL,READM-30-CABG-HRRP,342,,12.3049,12.3528,42,07/01/2017,12/01/2019
HUNTSVILLE HOSPITAL,10039,AL,READM-30-AMI-HRRP,920,,12.6793,14.2481,110,07/01/2017,12/01/2019
HUNTSVILLE HOSPITAL,10039,AL,READM-30-COPD-HRRP,847,,20.5006,19.0844,180,07/01/2017,12/01/2019
HUNTSVILLE HOSPITAL,10039,AL,READM-30-PN-HRRP,1454,,17.0225,16.4395,250,07/01/2017,12/01/2019
HUNTSVILLE HOSPITAL,10039,AL,READM-30-HIP-KNEE-HRRP,1159,,4.9953,3.9700,62,07/01/2017,12/01/2019
HUNTSVILLE HOSPITAL,10039,AL,READM-30-HF-HRRP,1382,,21.8534,21.8583,302,07/01/2017,12/01/2019
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-AMI-HRRP,202,,17.8658,16.1880,42,07/01/2017,12/01/2019
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-CABG-HRRP,N/A,,12.2005,13.6106,Too Few to Report,07/01/2017,12/01/2019
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-COPD-HRRP,247,,21.4951,20.3689,58,07/01/2017,12/01/2019
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-HF-HRRP,336,,26.2879,24.2194,94,07/01/2017,12/01/2019
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-HIP-KNEE-HRRP,316,,4.1409,4.4014,12,07/01/2017,12/01/2019
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-PN-HRRP,472,,17.9698,17.6782,86,07/01/2017,12/01/2019
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-COPD-HRRP,85,,17.3235,17.4728,14,07/01/2017,12/01/2019
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-PN-HRRP,121,,13.5845,13.8733,15,07/01/2017,12/01/2019
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-HF-HRRP,N/A,,16.1015,17.2481,Too Few to Report,07/01/2017,12/01/2019
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
FAYETTE MEDICAL CENTER,10045,AL,READM-30-HF-HRRP,N/A,,20.3461,21.1500,Too Few to Report,07/01/2017,12/01/2019
FAYETTE MEDICAL CENTER,10045,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
FAYETTE MEDICAL CENTER,10045,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
FAYETTE MEDICAL CENTER,10045,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,07/01/2017,12/01/2019
FAYETTE MEDICAL CENTER,10045,AL,READM-30-COPD-HRRP,51,,19.2305,18.9710,11,07/01/2017,12/01/2019
FAYETTE MEDICAL CENTER,10045,AL,READM-30-PN-HRRP,83,,15.5044,15.6990,12,07/01/2017,12/01/2019
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-COPD-HRRP,201,,18.7799,19.5974,34,07/01/2017,12/01/2019
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-AMI-HRRP,51,,17.6577,16.2427,14,07/01/2017,12/01/2019
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-HIP-KNEE-HRRP,N/A,,4.3119,4.7022,Too Few to Report,07/01/2017,12/01/2019
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-HF-HRRP,261,,22.7033,23.1332,58,07/01/2017,12/01/2019
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-PN-HRRP,278,,19.2176,17.7971,59,07/01/2017,12/01/2019
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-PN-HRRP,139,,15.0557,14.1965,25,07/01/2017,12/01/2019
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-COPD-HRRP,118,,15.7819,16.4830,15,07/01/2017,12/01/2019
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-HF-HRRP,88,,20.2087,19.5245,20,07/01/2017,12/01/2019
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-HIP-KNEE-HRRP,N/A,,4.0983,4.0870,Too Few to Report,07/01/2017,12/01/2019
GREENE COUNTY HOSPITAL,10051,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
GREENE COUNTY HOSPITAL,10051,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
GREENE COUNTY HOSPITAL,10051,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
GREENE COUNTY HOSPITAL,10051,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
GREENE COUNTY HOSPITAL,10051,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,07/01/2017,12/01/2019
GREENE COUNTY HOSPITAL,10051,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-PN-HRRP,57,,16.4191,15.8114,12,07/01/2017,12/01/2019
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-COPD-HRRP,N/A,,20.2176,20.1040,Too Few to Report,07/01/2017,12/01/2019
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
FLOWERS HOSPITAL,10055,AL,READM-30-HIP-KNEE-HRRP,451,,4.1375,3.8365,20,07/01/2017,12/01/2019
FLOWERS HOSPITAL,10055,AL,READM-30-CABG-HRRP,N/A,,11.0429,11.3203,Too Few to Report,07/01/2017,12/01/2019
FLOWERS HOSPITAL,10055,AL,READM-30-COPD-HRRP,256,,18.6382,18.7909,47,07/01/2017,12/01/2019
FLOWERS HOSPITAL,10055,AL,READM-30-AMI-HRRP,262,,13.9659,14.3592,35,07/01/2017,12/01/2019
FLOWERS HOSPITAL,10055,AL,READM-30-HF-HRRP,433,,21.2189,21.1794,92,07/01/2017,12/01/2019
FLOWERS HOSPITAL,10055,AL,READM-30-PN-HRRP,411,,14.3713,15.2368,55,07/01/2017,12/01/2019
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-COPD-HRRP,218,,19.0612,19.1801,41,07/01/2017,12/01/2019
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-HF-HRRP,378,,20.7525,20.8934,78,07/01/2017,12/01/2019
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-PN-HRRP,468,,15.5416,15.7038,72,07/01/2017,12/01/2019
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-AMI-HRRP,179,,16.1800,15.8984,30,07/01/2017,12/01/2019
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-HIP-KNEE-HRRP,1244,,2.9992,3.6205,34,07/01/2017,12/01/2019
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-CABG-HRRP,80,,14.2014,13.1847,13,07/01/2017,12/01/2019
BIBB MEDICAL CENTER,10058,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
BIBB MEDICAL CENTER,10058,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
BIBB MEDICAL CENTER,10058,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
BIBB MEDICAL CENTER,10058,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
BIBB MEDICAL CENTER,10058,AL,READM-30-HF-HRRP,N/A,,19.0216,19.9080,Too Few to Report,07/01/2017,12/01/2019
BIBB MEDICAL CENTER,10058,AL,READM-30-PN-HRRP,N/A,,15.5577,15.5629,Too Few to Report,07/01/2017,12/01/2019
LAWRENCE MEDICAL CENTER,10059,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
LAWRENCE MEDICAL CENTER,10059,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
LAWRENCE MEDICAL CENTER,10059,AL,READM-30-COPD-HRRP,57,,19.6848,19.2964,13,07/01/2017,12/01/2019
LAWRENCE MEDICAL CENTER,10059,AL,READM-30-HF-HRRP,N/A,,22.5015,23.2195,Too Few to Report,07/01/2017,12/01/2019
LAWRENCE MEDICAL CENTER,10059,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
LAWRENCE MEDICAL CENTER,10059,AL,READM-30-PN-HRRP,70,,18.6162,18.6242,13,07/01/2017,12/01/2019
HIGHLANDS MEDICAL CENTER,10061,AL,READM-30-COPD-HRRP,151,,17.0482,18.0189,21,07/01/2017,12/01/2019
HIGHLANDS MEDICAL CENTER,10061,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
